Swasiland,Swaziland
Suedafrika,South Afrika
Liberia,Liberia
Sudan,Sudan
Guinea,Guinea
Demokratische_Republik_Kongo,Democratic Republic of Congo
path35,Sao Tome & Principe
Tschad,Chad
Simbabwe,Zimbabwe
Mosambik,Mozambique
Ruanda,Rwanda
Botsuana,Botswana
path33,Sao Tome & Principe
Nigeria,Nigeria
path31,Equatorial Guinea
Westsahara,Western Sahara (Morocco)
Malawi,Malawi
Republik_Kongo,Congo
Benin,Benin
Ghana,Ghana
Elfenbeinkueste,Cote d'Ivore
Burkina_Faso,Burkina
Senegal,Senegal
Tasania,Tanzania
Togo,Togo
Gambia,Gambia
Aethopien,Ethiopia
Aegypten,Egypt
Kenia,Kenya
Eritrea,Eritrea
Marokko,Morocco
Dschibuti,Djibouti
Gabun,Gabon
Algerien,Algeria
Sambia,Zambia
Namibia,Namibia
Guinea-Bissau,Guinea-Bissau
Mali,Mali
path42,Cabinda (Angola)
path40,Angola
Tunesien,Tunisia
Sierra_Leone,Sierra Leone
Niger,Niger
Lesotho,Lesotho
Kamerun,Cameroon
Uganda,Uganda
Zentralafrikanische_Republik,Central African Republic
Burundi,Burundi
Madagaskar,Madagascar
Mauretanien,Mauritania
Libyen,Libya
Somalia,Somalia
