Sachsen-Anhalt,Sachsen-Anhalt (Saxony-Anhalt)
Hessen,Hessen (Hesse)
Baden__x26__Württemberg,Baden-Württemberg
Mecklenburg-Vorpommern,Mecklenburg-Vorpommern (Mecklenburg-Western Pomerania)
Nordrhein-Westfalen,Nordrhein-Westfalen (North Rhine-Westphalia)
Brandenburg,Brandenburg
Saarland,Saarland
Niedersachsen,Niedersachsen (Lower Saxony)
Schleswig-Holstein,Schleswig-Holstein
Bremen,Freie Hansestadt Bremen (Free Hanseatic City of Bremen)
Berlin,Berlin
Hamburg,Freie und Hansestadt Hamburg (Free and Hanseatic City of Hamburg)
Thüringen,Freistaat Thüringen (Free State of Thuringia)
Bayern,Freistaat Bayern (Free State of Bavaria)
Rheinland-Pfalz,Rheinland-Pfalz (Rhineland-Palatinate)
Sachsen,Freistaat Sachsen (Free State of Saxony)
